row,keyword,url,reason
648,,,blank_url
649,,,blank_url
650,,,blank_url
651,,,blank_url
652,,,blank_url
653,,,blank_url
654,,,blank_url
655,,,blank_url
656,,,blank_url
657,,,blank_url
658,,,blank_url
659,,,blank_url
660,,,blank_url
661,,,blank_url
662,,,blank_url
663,,,blank_url
664,,,blank_url
665,,,blank_url
666,,,blank_url
667,,,blank_url
668,,,blank_url
669,,,blank_url
670,,,blank_url
671,,,blank_url
672,,,blank_url
673,,,blank_url
674,,,blank_url
675,,,blank_url
676,,,blank_url
677,,,blank_url
678,,,blank_url
679,,,blank_url
680,,,blank_url
681,,,blank_url
682,,,blank_url
683,,,blank_url
684,,,blank_url
685,,,blank_url
686,,,blank_url
687,,,blank_url
688,,,blank_url
689,,,blank_url
690,,,blank_url
691,,,blank_url
692,,,blank_url
693,,,blank_url
694,,,blank_url
695,,,blank_url
696,,,blank_url
697,,,blank_url
698,,,blank_url
699,,,blank_url
700,,,blank_url
701,,,blank_url
702,,,blank_url
703,,,blank_url
704,,,blank_url
705,,,blank_url
706,,,blank_url
707,,,blank_url
708,,,blank_url
709,,,blank_url
710,,,blank_url
711,,,blank_url
712,,,blank_url
713,,,blank_url
714,,,blank_url
715,,,blank_url
716,,,blank_url
717,,,blank_url
718,,,blank_url
719,,,blank_url
720,,,blank_url
721,,,blank_url
722,,,blank_url
723,,,blank_url
724,,,blank_url
725,,,blank_url
726,,,blank_url
727,,,blank_url
728,,,blank_url
729,,,blank_url
730,,,blank_url
731,,,blank_url
732,,,blank_url
733,,,blank_url
734,,,blank_url
735,,,blank_url
736,,,blank_url
737,,,blank_url
738,,,blank_url
739,,,blank_url
740,,,blank_url
741,,,blank_url
742,,,blank_url
743,,,blank_url
744,,,blank_url
745,,,blank_url
746,,,blank_url
747,,,blank_url
748,,,blank_url
749,,,blank_url
750,,,blank_url
751,,,blank_url
752,,,blank_url
753,,,blank_url
754,,,blank_url
755,,,blank_url
756,,,blank_url
757,,,blank_url
758,,,blank_url
759,,,blank_url
760,,,blank_url
761,,,blank_url
762,,,blank_url
763,,,blank_url
764,,,blank_url
765,,,blank_url
766,,,blank_url
767,,,blank_url
768,,,blank_url
769,,,blank_url
770,,,blank_url
771,,,blank_url
772,,,blank_url
773,,,blank_url
774,,,blank_url
775,,,blank_url
776,,,blank_url
777,,,blank_url
778,,,blank_url
779,,,blank_url
780,,,blank_url
781,,,blank_url
782,,,blank_url
783,,,blank_url
784,,,blank_url
785,,,blank_url
786,,,blank_url
787,,,blank_url
788,,,blank_url
789,,,blank_url
790,,,blank_url
791,,,blank_url
792,,,blank_url
793,,,blank_url
794,,,blank_url
795,,,blank_url
796,,,blank_url
797,,,blank_url
798,,,blank_url
799,,,blank_url
800,,,blank_url
801,,,blank_url
802,,,blank_url
803,,,blank_url
804,,,blank_url
805,,,blank_url
806,,,blank_url
807,,,blank_url
808,,,blank_url
809,,,blank_url
810,,,blank_url
811,,,blank_url
812,,,blank_url
813,,,blank_url
814,,,blank_url
815,,,blank_url
816,,,blank_url
817,,,blank_url
818,,,blank_url
819,,,blank_url
820,,,blank_url
821,,,blank_url
