row,keyword,old_url,new_url,gsc_clicks,gsc_impressions,gsc_position,gsc_page_count_for_query
70,chứng nhận iso 17025,https://knacert.com.vn/blogs/tin-tuc/vai-tro-cua-iso-17025-trong-hoat-dong-cua-cac-phong-thu-nghiem,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-170252017/,0.0,13.0,6.153846153846154,4
71,chứng nhận iso 17025 là gì,https://knacert.com.vn/blogs/tin-tuc/to-chuc-chung-nhan-iso-17025-tai-viet-nam,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-170252017/,0.0,10.0,8.1,3
72,iso 17025,https://knacert.com.vn/q-a/questions-related-to-iso-170252017-standard/?lang=en,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-iso-17025-la-gi-kna-cert/,1.0,196.0,6.418367346938775,6
73,iso 17025 2017,https://knacert.com.vn/blogs/hoi-dap/cac-cau-hoi-ve-tieu-chuan-iso-170252017,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-170252017/,0.0,10.0,10.5,4
74,iso 17025 là gì,https://knacert.com.vn/blogs/tin-tuc/tim-hieu-iso-17025-la-gi-kna-cert,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-iso-17025-la-gi-kna-cert/,0.0,62.0,3.967741935483871,5
76,chứng chỉ iso 45001,https://knacert.com.vn/tu-van-iso-450012018-he-thong-quan-ly-an-toan-va-suc-khoe-nghe-nghiep,https://knacert.com.vn/dich-vu/chung-nhan-iso-450012018-he-thong-quan-ly-an-toan-va-suc-khoe-nghe-nghiep/,0.0,3.0,8.0,3
77,chứng chỉ iso 45001 là gì,,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-45001-la-gi-kna-cert/,0.0,3.0,10.0,4
78,chứng nhận iso 45001,https://knacert.com.vn/blogs/tin-tuc/huong-dan-thuc-hien-iso-45001-cho-doanh-nghiep,https://knacert.com.vn/dich-vu/chung-nhan-iso-450012018-he-thong-quan-ly-an-toan-va-suc-khoe-nghe-nghiep/,2.0,21.0,13.952380952380953,6
80,cấp chứng nhận iso 45001,https://knacert.com.vn/dich-vu/tu-van-iso-450012018-he-thong-quan-ly-an-toan-va-suc-khoe-nghe-nghiep/,https://knacert.com.vn/dich-vu/chung-nhan-iso-450012018-he-thong-quan-ly-an-toan-va-suc-khoe-nghe-nghiep/,0.0,5.0,14.0,4
81,iso 45001 2018,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-45001-la-gi-kna-cert,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-450012018-la-gi/,0.0,4.0,17.75,2
82,iso 45001 là gì,https://knacert.com.vn/blogs/tin-tuc/chinh-sach-iso-45001-ve-an-toan-va-suc-khoe-nghe-nghiep,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-45001-la-gi-kna-cert/,0.0,15.0,10.066666666666666,3
83,iso 9001,https://knacert.com.vn/blogs/tin-tong-hop/tong-quan-ve-cac-dieu-khoan-iso-90012015,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,1.0,249.0,2.6506024096385543,11
84,iso 9001 2015,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-90012015-la-gi-kna-cert,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,0.0,45.0,9.8,8
85,iso 14001,https://knacert.com.vn/blogs/tin-tuc/danh-sach-tai-lieu-iso-140012015-bat-buoc,https://knacert.com.vn/tin-tuc-tieu-chuan/danh-sach-tai-lieu-iso-140012015-bat-buoc/,0.0,40.0,13.7,8
86,iso 9001 là gì,https://knacert.com.vn/blogs/tin-tuc/thong-tin-dang-van-ban-trong-iso-9001-va-cac-yeu-cau-lien-quan,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,4.0,452.0,5.661504424778761,3
87,iso 14001 2015,https://knacert.com.vn/blogs/q-a/10-reasons-why-organizations-need-iso-140012015-certification,https://knacert.com.vn/tin-tuc-tieu-chuan/danh-sach-tai-lieu-iso-140012015-bat-buoc/,0.0,9.0,11.0,3
88,tiêu chuẩn iso 9001,https://knacert.com.vn/blogs/tin-tuc/so-tay-chat-luong-la-gi-cach-xay-dung-so-tay-chat-luong-theo-iso-90012015,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,11.0,18.454545454545453,4
89,tieu chuan iso 9001,,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,1.0,16.0,1
90,iso 9001 2015 là gì,https://knacert.com.vn/blogs/tin-tong-hop/hoi---dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,24.0,5.041666666666667,5
92,chứng nhận iso 9001,https://knacert.com.vn/blogs/tin-tuc/danh-gia-cap-chung-nhan-iso-9001-va-iso-14001-cho-cong-ty-tnhh-nhua-va-co-khi-dong-duong,https://knacert.com.vn/dich-vu/chung-nhan-iso-9001/,1.0,103.0,11.174757281553399,5
93,tiêu chuẩn iso 9001 2015,https://knacert.com.vn/blogs/tin-tuc/xay-dung-he-thong-quan-ly-chat-luong-iso-90012015,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,7.0,23.142857142857142,5
94,iso 9001 2008,https://knacert.com.vn/blogs/tin-tong-hop/tong-quan-ve-cac-dieu-khoan-iso-90012015,https://knacert.com.vn/tin-tuc-tieu-chuan/so-sanh-iso-90012015-va-iso-90012008-kna-cert/,0.0,2.0,11.5,1
95,tcvn iso 9001 2015,https://knacert.com.vn/tin-tuc-tieu-chuan/tcvn-iso-90012015-cho-doanh-nghiep-co-khi/,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,0.0,3.0,27.666666666666668,2
97,quy trình bán hàng iso 9001,https://knacert.com.vn/blogs/tin-tuc/quy-trinh-iso-la-gi-ap-dung-iso-9001-vao-trong-doanh-nghiep,https://knacert.com.vn/cong-cu-cai-tien/cac-quy-trinh-can-thiet-cua-iso-90012015/,0.0,2.0,12.5,2
98,iso 9001 pdf,https://knacert.com.vn/blogs/tin-tuc/tai-lieu-iso-90012015-pdf,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,0.0,6.0,11.666666666666666,1
99,iso 9001 2015 pdf,https://knacert.com.vn/blogs/tin-tuc/tai-lieu-iso-90012015-pdf,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,0.0,15.0,12.866666666666667,1
100,iso 9001 2015 is,https://knacert.com.vn/blogs/tin-tong-hop/tong-quan-ve-cac-dieu-khoan-iso-90012015,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,2.0,17.0,3
101,cấp chứng chỉ iso 9001,https://knacert.com.vn/tin-tuc-tieu-chuan/hoi-dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap/,https://knacert.com.vn/dich-vu/chung-nhan-iso-9001/,0.0,10.0,13.6,4
103,bộ quy trình iso 9001 2015,https://knacert.com.vn/blogs/tin-tuc/danh-sach-tai-lieu-iso-90012015-bat-buoc,https://knacert.com.vn/cong-cu-cai-tien/cac-quy-trinh-can-thiet-cua-iso-90012015/,0.0,5.0,21.4,3
104,chứng chỉ iso 9001,https://knacert.com.vn/blogs/tin-tuc/muc-dich-cua-iso-9001-y-nghia-va-vai-tro-cot-loi,https://knacert.com.vn/dich-vu/chung-nhan-iso-9001/,0.0,22.0,7.136363636363637,6
105,tư vấn iso 9001,https://knacert.com.vn/blogs/tin-tuc/so-tay-chat-luong-la-gi-cach-xay-dung-so-tay-chat-luong-theo-iso-90012015,https://knacert.com.vn/tin-tuc-tieu-chuan/hoi-dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap/,0.0,20.0,1.0,3
107,tiêu chuẩn iso 9001 là gì,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-90012015-la-gi-kna-cert,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,49.0,5.63265306122449,2
110,iso 9001 là tiêu chuẩn gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-9001-la-gi/,0.0,38.0,5.315789473684211,3
